date,features,strategy_idx,pnl,period_name,period_type,taleb_tail_exponent,taleb_expected_shortfall_95,taleb_expected_shortfall_99,taleb_es_pareto_95,taleb_es_pareto_99,taleb_fragility_score,taleb_excess_kurtosis,taleb_convexity_bias,taleb_tail_risk_ratio
2019-12-31,"[13.779999732971191, 0.001992267556488514, 0.03787173330783844, 0.06754636764526367, -0.5771055221557617, 0.09278351068496704, 0.5, 0.5, 0.30000001192092896, 0.699999988079071]",3,0.0074932195722683835,Low Vol Bull,normal,3.0894743466344248,0.02874684084582845,0.04945366113793542,0.026235130074329573,0.05032683103026015,-6.761258219967203e-10,13.889111947011536,4.718772445687547,2.1022351357640847
2020-01-02,"[12.470000267028809, 0.011331477202475071, 0.054651182144880295, 0.06448877602815628, -0.18505707383155823, -0.015785304829478264, 0.5, 0.5, 0.30000001192092896, 0.699999988079071]",4,0.004613258785280072,Low Vol Bull,normal,3.0894743466344248,0.02874684084582845,0.04945366113793542,0.026235130074329573,0.05032683103026015,-6.761258219967203e-10,13.889111947011536,4.718772445687547,2.1022351357640847
2020-01-03,"[14.020000457763672, -0.001640909817069769, 0.04024672135710716, 0.07254643738269806, -0.3345058560371399, 0.10830046236515045, 0.5, 0.5, 0.30000001192092896, 0.699999988079071]",3,0.006186992218352149,Low Vol Bull,normal,3.0894743466344248,0.02874684084582845,0.04945366113793542,0.026235130074329573,0.05032683103026015,-6.761258219967203e-10,13.889111947011536,4.718772445687547,2.1022351357640847
2020-01-06,"[13.850000381469727, 0.0024160542525351048, 0.042341142892837524, 0.07283025234937668, -0.3479658365249634, 0.03127327561378479, 0.5, 0.5, 0.30000001192092896, 0.699999988079071]",3,0.00887389469559101,Low Vol Bull,normal,3.0894743466344248,0.02874684084582845,0.04945366113793542,0.026235130074329573,0.05032683103026015,-6.761258219967203e-10,13.889111947011536,4.718772445687547,2.1022351357640847
2020-01-07,"[13.789999961853027, 0.0051389471627771854, 0.03000200353562832, 0.0697767361998558, -0.2706506550312042, -0.06950065493583679, 0.5, 0.5, 0.30000001192092896, 0.699999988079071]",3,0.011806713554017167,Low Vol Bull,normal,3.0894743466344248,0.02874684084582845,0.04945366113793542,0.026235130074329573,0.05032683103026015,-6.761258219967203e-10,13.889111947011536,4.718772445687547,2.1022351357640847
2020-01-08,"[13.449999809265137, 0.008047312498092651, 0.038757458329200745, 0.06879156827926636, -0.28665676712989807, -0.02394774556159973, 0.5, 0.5, 0.30000001192092896, 0.699999988079071]",3,0.012324985042147208,Low Vol Bull,normal,3.0894743466344248,0.02874684084582845,0.04945366113793542,0.026235130074329573,0.05032683103026015,-6.761258219967203e-10,13.889111947011536,4.718772445687547,2.1022351357640847
2020-01-09,"[12.539999961853027, 0.0054791453294456005, 0.046968474984169006, 0.06988393515348434, -0.24969759583473206, 0.0056134476326406, 0.5, 0.5, 0.30000001192092896, 0.699999988079071]",3,0.012050817230588873,Low Vol Bull,normal,3.0894743466344248,0.02874684084582845,0.04945366113793542,0.026235130074329573,0.05032683103026015,-6.761258219967203e-10,13.889111947011536,4.718772445687547,2.1022351357640847
2020-01-10,"[12.5600004196167, 0.010235080495476723, 0.04100029543042183, 0.0722137913107872, -0.3148493766784668, -0.10413694381713867, 0.5, 0.5, 0.30000001192092896, 0.699999988079071]",4,0.014871469250982473,Low Vol Bull,normal,3.0894743466344248,0.02874684084582845,0.04945366113793542,0.026235130074329573,0.05032683103026015,-6.761258219967203e-10,13.889111947011536,4.718772445687547,2.1022351357640847
2020-01-13,"[12.319999694824219, 0.013317213393747807, 0.03920264169573784, 0.0703435018658638, -0.20752504467964172, -0.11046936362981796, 0.5, 0.5, 0.30000001192092896, 0.699999988079071]",4,0.009747815863077125,Low Vol Bull,normal,3.0894743466344248,0.02874684084582845,0.04945366113793542,0.026235130074329573,0.05032683103026015,-6.761258219967203e-10,13.889111947011536,4.718772445687547,2.1022351357640847
2020-01-14,"[12.390000343322754, 0.014625114388763905, 0.03699720278382301, 0.07127576321363449, -0.22092117369174957, -0.10152281820774078, 0.5, 0.5, 0.30000001192092896, 0.699999988079071]",4,0.010833731044323626,Low Vol Bull,normal,3.0894743466344248,0.02874684084582845,0.04945366113793542,0.026235130074329573,0.05032683103026015,-6.761258219967203e-10,13.889111947011536,4.718772445687547,2.1022351357640847
2020-01-15,"[12.420000076293945, 0.011526860296726227, 0.032249003648757935, 0.06878513097763062, -0.14014185965061188, -0.07657990604639053, 0.5, 0.5, 0.30000001192092896, 0.699999988079071]",4,0.009990540196010955,Low Vol Bull,normal,3.0894743466344248,0.02874684084582845,0.04945366113793542,0.026235130074329573,0.05032683103026015,-6.761258219967203e-10,13.889111947011536,4.718772445687547,2.1022351357640847
2020-01-16,"[12.319999694824219, 0.013071907684206963, 0.04060717299580574, 0.07253880798816681, -0.18174496293067932, -0.01754388026893139, 0.5, 0.5, 0.30000001192092896, 0.699999988079071]",4,-0.0021052133691947254,Low Vol Bull,normal,3.0894743466344248,0.02874684084582845,0.04945366113793542,0.026235130074329573,0.05032683103026015,-6.761258219967203e-10,13.889111947011536,4.718772445687547,2.1022351357640847
2020-01-17,"[12.100000381469727, 0.01915808394551277, 0.04378096014261246, 0.07226460427045822, -0.22948694229125977, -0.036624204367399216, 0.5, 0.5, 0.30000001192092896, 0.699999988079071]",4,-0.013550296509556217,Low Vol Bull,normal,3.0894743466344248,0.02874684084582845,0.04945366113793542,0.026235130074329573,0.05032683103026015,-6.761258219967203e-10,13.889111947011536,4.718772445687547,2.1022351357640847
2020-01-21,"[12.850000381469727, 0.010214969515800476, 0.037484943866729736, 0.07329423725605011, -0.2792215347290039, 0.04301953688263893, 0.5, 0.5, 0.30000001192092896, 0.699999988079071]",4,-0.006680565865360323,Low Vol Bull,normal,3.0894743466344248,0.02874684084582845,0.04945366113793542,0.026235130074329573,0.05032683103026015,-6.761258219967203e-10,13.889111947011536,4.718772445687547,2.1022351357640847
2020-01-22,"[12.90999984741211, 0.01187970582395792, 0.033080779016017914, 0.07290185987949371, -0.28677961230278015, 0.041969288140535355, 0.5, 0.5, 0.30000001192092896, 0.699999988079071]",4,-0.006466011533634188,Low Vol Bull,normal,3.0894743466344248,0.02874684084582845,0.04945366113793542,0.026235130074329573,0.05032683103026015,-6.761258219967203e-10,13.889111947011536,4.718772445687547,2.1022351357640847
2020-01-23,"[12.979999542236328, 0.01075607631355524, 0.032687846571207047, 0.07292207330465317, -0.28810325264930725, 0.045088522136211395, 0.5, 0.5, 0.30000001192092896, 0.699999988079071]",4,-0.005869242943404075,Low Vol Bull,normal,3.0894743466344248,0.02874684084582845,0.04945366113793542,0.026235130074329573,0.05032683103026015,-6.761258219967203e-10,13.889111947011536,4.718772445687547,2.1022351357640847
2020-01-24,"[14.5600004196167, -0.006497072987258434, 0.023472117260098457, 0.08183618634939194, -0.34106698632240295, 0.18181824684143066, 0.5, 0.5, 0.30000001192092896, 0.699999988079071]",3,-0.009611765487614032,Low Vol Bull,normal,3.0894743466344248,0.02874684084582845,0.04945366113793542,0.026235130074329573,0.05032683103026015,-6.761258219967203e-10,13.889111947011536,4.718772445687547,2.1022351357640847
2020-01-27,"[18.229999542236328, -0.025455616414546967, 0.0017339622136205435, 0.10045556724071503, -0.49156659841537476, 0.5066114664077759, 0.5, 0.5, 0.30000001192092896, 0.699999988079071]",1,0.0038682295778996734,Low Vol Bull,normal,3.0894743466344248,0.02874684084582845,0.04945366113793542,0.026235130074329573,0.05032683103026015,-6.761258219967203e-10,13.889111947011536,4.718772445687547,2.1022351357640847
2020-01-28,"[16.280000686645508, -0.013311486691236496, 0.012481986545026302, 0.10696043074131012, -0.5414912104606628, 0.2669260799884796, 0.5, 0.5, 0.30000001192092896, 0.699999988079071]",7,0.0061289056432869415,Low Vol Bull,normal,3.0894743466344248,0.02874684084582845,0.04945366113793542,0.026235130074329573,0.05032683103026015,-6.761258219967203e-10,13.889111947011536,4.718772445687547,2.1022351357640847
2020-01-29,"[16.389999389648438, -0.01424497552216053, 0.017254440113902092, 0.10465189814567566, -0.5980657935142517, 0.26955845952033997, 0.5, 0.5, 0.30000001192092896, 0.699999988079071]",7,0.010326479459726728,Low Vol Bull,normal,3.0894743466344248,0.02874684084582845,0.04945366113793542,0.026235130074329573,0.05032683103026015,-6.761258219967203e-10,13.889111947011536,4.718772445687547,2.1022351357640847
2020-01-30,"[15.489999771118164, -0.012179032899439335, 0.01808241568505764, 0.1048523411154747, -0.6233081221580505, 0.19337444007396698, 0.5, 0.5, 0.30000001192092896, 0.699999988079071]",7,0.0114922072603717,Low Vol Bull,normal,3.0894743466344248,0.02874684084582845,0.04945366113793542,0.026235130074329573,0.05032683103026015,-6.761258219967203e-10,13.889111947011536,4.718772445687547,2.1022351357640847
2020-01-31,"[18.84000015258789, -0.021412895992398262, -0.009665340185165405, 0.11989322304725647, -0.7185342311859131, 0.2939560115337372, 0.5, 0.5, 0.30000001192092896, 0.699999988079071]",1,0.010487954770941011,Low Vol Bull,normal,3.0894743466344248,0.02874684084582845,0.04945366113793542,0.026235130074329573,0.05032683103026015,-6.761258219967203e-10,13.889111947011536,4.718772445687547,2.1022351357640847
2020-02-03,"[17.969999313354492, 0.001916640903800726, 0.005303538870066404, 0.1199125275015831, -0.7049727439880371, -0.014262218028306961, 0.5, 0.5, 0.30000001192092896, 0.699999988079071]",7,0.023215923409354966,Low Vol Bull,normal,3.0894743466344248,0.02874684084582845,0.04945366113793542,0.026235130074329573,0.05032683103026015,-6.761258219967203e-10,13.889111947011536,4.718772445687547,2.1022351357640847
2020-02-04,"[16.049999237060547, 0.0066386256366968155, 0.01674696058034897, 0.13073629140853882, -0.7605597376823425, -0.014127852395176888, 0.5, 0.5, 0.30000001192092896, 0.699999988079071]",7,0.015036636143031246,Low Vol Bull,normal,3.0894743466344248,0.02874684084582845,0.04945366113793542,0.026235130074329573,0.05032683103026015,-6.761258219967203e-10,13.889111947011536,4.718772445687547,2.1022351357640847
2020-02-05,"[15.149999618530273, 0.019104501232504845, 0.03138832747936249, 0.1352415531873703, -0.8206740021705627, -0.07565587759017944, 0.5, 0.5, 0.30000001192092896, 0.699999988079071]",7,0.012668823470027735,Low Vol Bull,normal,3.0894743466344248,0.02874684084582845,0.04945366113793542,0.026235130074329573,0.05032683103026015,-6.761258219967203e-10,13.889111947011536,4.718772445687547,2.1022351357640847
2020-02-06,"[14.960000038146973, 0.019226321950554848, 0.02937271259725094, 0.13469800353050232, -0.8176088333129883, -0.03421560674905777, 0.5, 0.5, 0.30000001192092896, 0.699999988079071]",4,0.008712891863126682,Low Vol Bull,normal,3.0894743466344248,0.02874684084582845,0.04945366113793542,0.026235130074329573,0.05032683103026015,-6.761258219967203e-10,13.889111947011536,4.718772445687547,2.1022351357640847
2020-02-07,"[15.470000267028809, 0.03254283219575882, 0.01699071377515793, 0.13523904979228973, -0.8357259631156921, -0.17887473106384277, 0.5, 0.5, 0.30000001192092896, 0.699999988079071]",6,0.013941528380080493,Low Vol Bull,normal,3.0894743466344248,0.02874684084582845,0.04945366113793542,0.026235130074329573,0.05032683103026015,-6.761258219967203e-10,13.889111947011536,4.718772445687547,2.1022351357640847
